,y,x,highway
4631178582,10.7529413,106.6719614,crossing
5817380554,10.7564589,106.668384,
11390037741,10.7960425,106.6564325,crossing
11390037742,10.7959941,106.6564798,crossing
4891619180,10.7845834,106.6689923,
9404297254,10.7709732,106.7045587,
9404297255,10.7707457,106.7045554,
9404297256,10.7708757,106.7045572,
3807391791,10.7937894,106.6516255,crossing
9404297269,10.7711862,106.6963599,
9740103896,10.7711353,106.6992937,
11386761577,10.7471949,106.6888485,
11468812669,10.7914814,106.652623,
5742670227,10.7775009,106.707012,
5742670228,10.7787404,106.7073455,
5742670239,10.7782199,106.7072051,
11468812721,10.7933066,106.6525906,
11468812733,10.7935605,106.6521233,
11809731170,10.7936822,106.6518986,
11799114415,10.752866,106.6694698,
11799114417,10.7932692,106.6537722,
11799114423,10.7475559,106.6691474,
11799114430,10.7470892,106.6690195,
2299409156,10.7836615,106.6544537,
2299409157,10.7893421,106.6528317,
2299409160,10.7856396,106.653887,
2299409166,10.7883309,106.6530362,
2299409167,10.7813144,106.6551248,
2299409176,10.7840001,106.6543543,
2299409179,10.7781816,106.6560266,
11510232021,10.78441,106.7038502,
6239040585,10.7634029,106.6600961,
6239040625,10.7587994,106.6614149,
2690659611,10.7791854,106.6790678,
2690659614,10.7794286,106.678638,
2690659691,10.7787762,106.6798422,
2690659695,10.7788862,106.6796379,
5778164496,10.7802644,106.6770737,
4605752772,10.7640548,106.6804332,
6791509612,10.756322,106.6621088,
6753761534,10.7540195,106.6765132,
6753761539,10.7540945,106.6767904,traffic_signals
6753761540,10.7541774,106.6767657,crossing
11998476551,10.7623597,106.6706677,
11998476552,10.7640607,106.6718489,
6753761537,10.7541529,106.6770046,crossing
11998476555,10.763528,106.6714784,
11998476556,10.7634713,106.671442,
11998476553,10.7639026,106.671741,
11998476558,10.7631261,106.671199,
11998476559,10.7628962,106.6710372,
11998476560,10.7625859,106.6708235,crossing
11998476561,10.7626428,106.6708627,traffic_signals
11998476563,10.7620933,106.6704897,traffic_signals
11998476567,10.7603164,106.6692565,
11998476568,10.7608048,106.6695983,
5500064105,10.7641724,106.6975341,
5500064106,10.7638659,106.6977418,traffic_signals
5500064107,10.7713408,106.6934539,
5500064108,10.7714672,106.6933211,
6640122313,10.7758489,106.6565672,
6640122314,10.7755399,106.6566533,
6791510543,10.7503654,106.6699263,
6732659232,10.7555866,106.6623387,crossing
6732659233,10.7551908,106.6622487,traffic_signals
6732659234,10.7553888,106.6622102,crossing
6732659235,10.7552339,106.6624752,crossing
6732659236,10.7554341,106.6624292,traffic_signals
4597496400,10.7651777,106.7071065,
4932516512,10.7728272,106.6574424,
4932516514,10.7734584,106.6572476,
4932516515,10.7739949,106.6570857,
6754155663,10.7603574,106.6609696,
6754155664,10.7599833,106.6610737,
6754155665,10.7602245,106.661006,
6754155666,10.7633169,106.6601243,
6760578315,10.7565977,106.6850859,traffic_signals
6760578316,10.7562674,106.6852345,crossing
6760578317,10.7565685,106.6853955,crossing
6760578318,10.7564308,106.685049,crossing
6760578319,10.7563488,106.6850747,traffic_signals
6760578322,10.7560481,106.6836626,traffic_signals
6760578328,10.7560166,106.683551,crossing
6760578329,10.7559245,106.6835778,traffic_signals
6640254450,10.7544151,106.6572958,
10942561819,10.7715758,106.6981752,
10942561820,10.7716022,106.6981144,
10942561821,10.771545,106.6982337,
10942561825,10.7715843,106.6978757,
10942561826,10.7715843,106.6977998,
10942561828,10.7715581,106.6976507,
10942561827,10.7715755,106.6977245,
10942561830,10.7712071,106.6967915,crossing
10942561832,10.7716208,106.6976649,
10942561831,10.771686,106.6978751,
10942561834,10.7716341,106.697707,
10942561840,10.7712593,106.6967655,crossing
2364030596,10.7747898,106.6906105,
6639599300,10.7674525,106.674463,
6639599305,10.7604314,106.6770309,
6639599307,10.76218,106.6763867,
6751141601,10.7678654,106.6714126,crossing
6751141602,10.7677753,106.6714199,traffic_signals
6751141605,10.7677621,106.6716622,crossing
6751141606,10.7678523,106.6716555,traffic_signals
6793871086,10.7695522,106.6757663,crossing
5772558091,10.7797135,106.6555803,
5772558097,10.7793215,106.6556937,
6794526672,10.771515,106.6739675,crossing
6794526674,10.7716597,106.6743656,crossing
6794526675,10.7717333,106.6743151,crossing
6794526676,10.7716328,106.6743236,
6794526677,10.771707,106.6742722,
6725058528,10.7623432,106.6571327,traffic_signals
6725058529,10.7622607,106.6571853,crossing
4610643513,10.7710626,106.6936374,traffic_signals
11395678546,10.7827408,106.6724336,
10165830121,10.7522585,106.6824567,
11771724324,10.7939704,106.6512876,
11771724332,10.7780742,106.685171,
11771724333,10.780274,106.6874916,
11771724334,10.7828612,106.69017,
11771724354,10.7783841,106.6826105,
11771724356,10.7824523,106.672974,
11771724357,10.7836511,106.6707353,
11771724362,10.7941036,106.6511733,
6720471706,10.7937454,106.6785653,
6720471709,10.7926732,106.6803753,
2841264942,10.766667,106.6651426,
10734420890,10.7711851,106.6951996,
2230862976,10.7819929,106.6860978,
2230863228,10.7824623,106.6865898,
6753895860,10.7428176,106.6884294,crossing
6783518267,10.7524988,106.6800913,crossing
11932812873,10.7640019,106.6599802,
6760580985,10.7554572,106.6814755,traffic_signals
6760580986,10.7553682,106.6815072,crossing
2233747323,10.7924023,106.6530406,
6760580989,10.7553973,106.6812585,crossing
6760580990,10.7553096,106.6812885,traffic_signals
6760580991,10.7547088,106.6790441,crossing
6760580992,10.7547898,106.6790138,traffic_signals
6760580993,10.7546613,106.6788689,traffic_signals
6760580994,10.7547431,106.678842,crossing
2233747331,10.7925598,106.6531271,
2233747342,10.7930924,106.6529851,
370821213,10.7685802,106.7055645,
737167456,10.7419079,106.6882703,
3462940800,10.7718596,106.6746869,
3462940803,10.771611,106.674291,
3462940804,10.7717026,106.6744361,
3462940809,10.7725683,106.67882,
4617816425,10.7871348,106.6641927,
4898834796,10.7888358,106.6610116,
10211838353,10.7648551,106.6812194,
10211838359,10.764699,106.6810661,
10810706389,10.7740833,106.6899262,
8366389872,10.7802025,106.6772351,
